822	{427,427,460,1759,2480,2480,2480,3232,3781,3863,3907,3951,5623,7471,14177,14177,14601,14601,18364,18364,18364,19577,19577,19577,19577,19578,19578,19578,21804,21804,23931,23931,23931,23931,23932,23932,23969,24185,24185}
2568	{1017,1017,1022,1022,4927,16746,18679,18682,18682,19364,19540,20530,20592,20668}
581	{19324}
685	{1047,4248,7336,7336,8526,8669,8878,9578,9581,12248,18854,18854,18854,19578,21787,21796}
295	{2059,2059,2676,13488,15709,16985,16985,18978,19315,19315}
630	{2,115,299,300,300,362,365,427,427,427,427,427,969,994,1017,1021,1021,1021,1021,1022,1022,1022,1046,1047,1047,1047,1047,1047,1079,1434,2672,2672,2754,2754,2958,3001,3001,3001,3001,3001,3001,3001,3001,3020,3020,3023,3187,3189,3189,3214,4022,4607,4607,4607,4607,4607,4607,4769,5502,5502,6257,6496,6919,6919,6919,6919,6937,6937,7013,7015,7027,7109,7114,7114,7114,7146,7381,7381,7418,7605,7699,7721,7721,7753,7786,8005,8005,8009,8009,8011,8011,8011,8338,8676,8713,8717,8717,8717,8717,8717,8882,8893,8893,8916,8946,8946,9182,9694,9694,9997,10122,10645,10763,10763,11808,11808,11823,11823,12316,12316,12471,12471,14307,14617,15014,15014,15014,15396,15753,15753,15896,15896,15935,16542,16542,16543,16543,16622,16622,16937,16937,17579,17579,18395,18657,18657,18657,18657,19678,19755,19757,19757,19757,19846,19846,19861,19863,20208,20208,20209,20209,20562,20580,20750,20752,20752,20753,20753,20766,20767,20768,20802,20802,20803,20803,20805,20805,20812,21137,21137,21137,21350,21350,21527,21698,21796,21855,21858,21861,21861,22018,22018,22253,22253,22253,22276,22472,22515,22520,22522,22536,22537,22537,22564,22564,22564,22702,22704,22838,23027,23027,23034,23076,23076,23076,23078,23091,23093,23114,23130,23130,23235,23235,23299,23351,23352,23616,23682,23728,23728,23807,23886,23887,24399,24480,24481,24482,24513,25115,25119}
2745	{255,255,255,273,273,273,300,300,300,994,994,994,1079,1079,1079}
640	{2,15,256,273,297,427,427,427,427,460,1046,1046,1076,1079,2985,3020,3020,3020,3020,4022,4640,4640,7015,7429,7907,14307,15396,15396,18432,19742,19750,19753,19755,19783,19784,19846,19846,19862,20254,20562,20562,20592,20592,20592,20942,20942,20975,20975,21184,21268,21371,21454,21577,21795,21799,21799,21855,21855,21872,21872,21876,21876,21913,21913,21952,21952}
1350	{110,110,110,110,110,110,110,117,117,118,118,118,120,120,121,273,273,273,273,274,274,274,306,306,306,309,309,309,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,322,327,328,328,328,328,334,339,340,341,343,344,363,397,399,406,407,407,409,409,409,409,409,409,409,419,419,419,419,419,419,421,421,427,427,427,429,429,430,430,430,432,433,460,460,460,460,460,460,460,460,473,473,724,724,724,724,724,724,726,726,726,726,726,726,726,726,726,726,726,729,741,746,746,746,746,746,861,912,969,969,969,969,969,969,969,969,969,969,969,1046,1046,1046,1076,1079,1079,1079,1079,1079,1079,1080,1081,1081,1081,1081,1081,1081,1081,1087,1336,1404,1404,1404,1404,1503,1503,1762,1763,1818,1851,1851,1851,1851,1851,1851,1851,1851,1851,2018,2234,2325,2325,2325,2325,2325,2500,2502,2502,2502,2502,2502,2538,2684,2684,2684,2684,2684,3442,3442,5642,6744,7209,8832,10739,13894,17016,18433,18458,18458,18657,18657,18707,19099,19099,19099,19099,19099,19600,19846,20091,20107,20107,20402,20453,20463,20570,20674,20675,20675,21414,21708,21712,21760,22381,23015,23076,23127,23127,23127,23128,23185,23185,23185,23416,23416,23518}
1796	{2,273,273,273,300,322,327,334,348,424,426,427,427,428,428,428,431,460,460,460,460,460,535,561,694,726,726,726,741,766,767,768,768,786,839,953,953,953,969,994,1017,1021,1021,1021,1022,1022,1022,1048,1079,1079,1080,1080,1182,1933,2212,2480,2480,2505,2587,2590,2590,2770,2787,2929,2938,2943,2945,2945,3109,3127,3219,3219,3220,3220,3232,3375,3375,3640,3907,3907,3907,3951,4173,4534,4772,4772,4836,4927,4927,5137,5199,5218,5409,5409,5436,5623,5844,5844,5844,6095,6300,6300,6300,6536,6536,6678,6678,7016,7016,7114,7114,7114,7325,7325,7325,7502,7503,7504,7505,7508,7699,7956,7956,7956,8235,8384,8387,8387,8741,8832,8832,8832,8840,9399,9399,9585,9585,9585,9997,10117,10410,10682,10682,11670,11969,11969,12022,12134,12135,12649,12837,12994,13137,13375,13524,13524,15290,15565,16419,16722,16722,16884,17068,18364,18364,18431,18437,18437,18458,18460,18552,18563,18563,18563,18583,18607,18657,18657,18667,18670,18670,18671,18671,18672,18672,18813,18814,18815,18816,18817,18818,18864,18864,18865,18865,18866,18866,18867,18867,19023,19034,19232,19232,19233,19233,19234,19234,19243,19243,19261,19261,19261,19261,19261,19264,19264,19264,19264,19264,19268,19268,19268,19268,19268,19307,19307,19308,19308,19308,19308,19310,19310,19324,19324,19324,19334,19334,19337,19337,19337,19540,19588,19588,19678,19724,19728,19770,19772,19773,19777,19786,19813,19844,19846,19854,19855,19856,19857,19858,19859,19860,19906,19907,19936,20006,20278,20278,20279,20279,20280,20344,20344,20345,20345,20346,20346,20536,20546,20546,20547,20547,20668,20684,21347,21347,21454,21459,21477,21477,21742,21855,21952,21954,21973,22018,22019,22048,22177,22178,22179,22351,22376,22424,22424,22433,22434,22436,22452,22467,22472,22709,22721,22750,22848,22849,22955,23407,23407,23441,23442,23491,23553,23554,23555,23556,23931,23969,24185}
