ОП;ИД ОП;Название индикатора;ИД индикатора;Название компетенции;ИД компетенции;Название группы компетенций;Тип компетенции;Профессиональный стандарт;Сфера;ИД РПД;ИД РПД;ИД РПД
;2423;ПК-4.2 Определяет технологические маршруты изготовления оптических, оптико-электронных, механических блоков, узлов и деталей;;ПК-4 Способен реализовывать технологические процессы производства, метрологического обеспечения и контроля качества изделий оптических, оптико-электронных систем, приборов, деталей, элементов и оптических покрытий различного назначения;;Профессиональные компетенции;Профессиональные компетенции;29.004 Специалист в области проектирования и сопровождения производства оптотехники, оптических и оптико-электронных приборов и комплексов;;;;
;2423;ПК-4.3 Осуществляет контроль качества изделий оптических, оптико-электронных систем, приборов, деталей, элементов и оптических покрытий различного назначения;;ПК-4 Способен реализовывать технологические процессы производства, метрологического обеспечения и контроля качества изделий оптических, оптико-электронных систем, приборов, деталей, элементов и оптических покрытий различного назначения;;Профессиональные компетенции;Профессиональные компетенции;29.004 Специалист в области проектирования и сопровождения производства оптотехники, оптических и оптико-электронных приборов и комплексов;;;;
;2423;ПК-4.4 Составляет технологические карты сборки, юстировки и контроля оптических, оптико-электронных, механических блоков, узлов и деталей;;ПК-4 Способен реализовывать технологические процессы производства, метрологического обеспечения и контроля качества изделий оптических, оптико-электронных систем, приборов, деталей, элементов и оптических покрытий различного назначения;;Профессиональные компетенции;Профессиональные компетенции;29.004 Специалист в области проектирования и сопровождения производства оптотехники, оптических и оптико-электронных приборов и комплексов;;;;
;2423;ПК-С1.1.1 Участвует в организации и планировании научно-исследовательских и опытно-конструкторских работ;;ПК-С1.1 Способность участвовать в научно-исследовательских и опытно-конструкторских работах в области лазерной техники и лазерных технологий;;Профессиональные компетенции;Профессиональные компетенции;40.011 Специалист по научно-исследовательским и опытно-конструкторским разработкам;;;;
;2423;ПК-С1.1.2 Анализирует специфику работы проектируемых систем в области лазерной техники;;ПК-С1.1 Способность участвовать в научно-исследовательских и опытно-конструкторских работах в области лазерной техники и лазерных технологий;;Профессиональные компетенции;Профессиональные компетенции;40.011 Специалист по научно-исследовательским и опытно-конструкторским разработкам;;;;
;2423;ПК-С1.1.3 Выявляет и классифицирует факторы, влияющие на процесс производства приборов и систем в области лазерной техники;;ПК-С1.1 Способность участвовать в научно-исследовательских и опытно-конструкторских работах в области лазерной техники и лазерных технологий;;Профессиональные компетенции;Профессиональные компетенции;40.011 Специалист по научно-исследовательским и опытно-конструкторским разработкам;;;;
;2423;ПК-С2.1.1 Проводит поиск, обработку и анализ научно-технической информации и результатов исследований в области лазерной техники и лазерных технологий;;ПК-С2.1 Способность применять лазерные технологии для эффективного решения научно-исследовательских и опытно-конструкторских задач с применением современных информационных технологий и методов моделирования процессов взаимодействия лазерного излучения с веществом;;Профессиональные компетенции;Профессиональные компетенции;40.011 Специалист по научно-исследовательским и опытно-конструкторским разработкам;;;;
;2423;ПК-С2.1.2 Осуществляет выполнение экспериментов и оформление результатов исследований и разработок в области лазерной техники и лазерных технологий;;ПК-С2.1 Способность применять лазерные технологии для эффективного решения научно-исследовательских и опытно-конструкторских задач с применением современных информационных технологий и методов моделирования процессов взаимодействия лазерного излучения с веществом;;Профессиональные компетенции;Профессиональные компетенции;40.011 Специалист по научно-исследовательским и опытно-конструкторским разработкам;;;;
;2423;ПК-С2.1.3 Осуществляет выполнение моделирования и оформление результатов исследований и разработок в области лазерной техники и лазерных технологий;;ПК-С2.1 Способность применять лазерные технологии для эффективного решения научно-исследовательских и опытно-конструкторских задач с применением современных информационных технологий и методов моделирования процессов взаимодействия лазерного излучения с веществом;;Профессиональные компетенции;Профессиональные компетенции;40.011 Специалист по научно-исследовательским и опытно-конструкторским разработкам;;;;
;2423;ПК-5.1 Осуществляет анализ информационных источников, стратегических и прогнозных документов ведущих научно-профессиональных сообществ и производителей устройств фотоники.;;ПК-5. Способность к разработке и внедрению новой элементной базы, инновационных методов и систем проектирования оптической и лазерной инженерии и оптоэлектроники и перспективных оптических и фотонных технологий;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2423;ПК-5.2 Применяет на практике новую элементную базу, инновационные методы и системы проектирования оптической и лазерной инженерии и оптоэлектроники и перспективные оптические и фотонные технологии;;ПК-5. Способность к разработке и внедрению новой элементной базы, инновационных методов и систем проектирования оптической и лазерной инженерии и оптоэлектроники и перспективных оптических и фотонных технологий;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2423;ПК-5.3 Определяет целесообразность и дальнейшие направления применения новой элементной базы, инновационных методов и систем проектирования оптической и лазерной инженерии и оптоэлектроники и перспективных оптических и фотонных технологий;;ПК-5. Способность к разработке и внедрению новой элементной базы, инновационных методов и систем проектирования оптической и лазерной инженерии и оптоэлектроники и перспективных оптических и фотонных технологий;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2423;ПК-6.1 Анализирует научно-техническую информацию в области лазерной техники и лазерных технологий;;ПК-6 Способность к анализу современной научно-технической информации в области лазерной техники и лазерных технологий, выполнению экспериментов и моделирования, оформлению результатов исследований;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2423;ПК-6.2 Выполняет эксперименты и моделирование в области в лазерной техники и лазерных технологий;;ПК-6 Способность к анализу современной научно-технической информации в области лазерной техники и лазерных технологий, выполнению экспериментов и моделирования, оформлению результатов исследований;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2423;ПК-6.3 Обрабатывает и оформляет результаты исследований с помощью современных средств редактирования в соответствии с установленными требованиями;;ПК-6 Способность к анализу современной научно-технической информации в области лазерной техники и лазерных технологий, выполнению экспериментов и моделирования, оформлению результатов исследований;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2423;ПК-С1.2.1 Создает базу данных о физических свойствах и технологических особенностях наноструктурных материалов;;ПК-С.1.2 Способность представлять адекватную современному уровню знаний научную картину мира о физических свойствах и технологических особенностях наноструктурных материалов для  информационно-коммуникационных технологий;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2423;ПК-С1.2.2 Применяет знания о физических свойствах и технологических особенностях наноструктурных материалов для проектирования лазерных и вспомогательных систем в составе информационно-коммуникационного комплекса;;ПК-С.1.2 Способность представлять адекватную современному уровню знаний научную картину мира о физических свойствах и технологических особенностях наноструктурных материалов для  информационно-коммуникационных технологий;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2423;"ПК-С1.3.1 Анализирует задачу проектирования лазерных и вспомогательных систем в составе информационно-коммуникационного комплекса;";;ПК-С.1.3 Способность выбирать необходимые элементы лазерной техники и компоненты системы исходя из их принципов работы, условий поставленной задачи и возможностей производства;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2423;ПК-С1.3.2 Участвует в разработке технических требований и заданий на проектирование лазерных и вспомогательных систем в составе информационно-коммуникационного комплекса;;ПК-С.1.3 Способность выбирать необходимые элементы лазерной техники и компоненты системы исходя из их принципов работы, условий поставленной задачи и возможностей производства;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2423;ПК-С1.3.3 Определяет параметры и характеристики элементов лазерных систем и технологий для заданных условий и режимов эксплуатации;;ПК-С.1.3 Способность выбирать необходимые элементы лазерной техники и компоненты системы исходя из их принципов работы, условий поставленной задачи и возможностей производства;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2423;ПК-С2.2.1 Оценивает принципиальные и технико-экономические возможности применения лазерной техники и лазерных технологий для эффективного решения актуальных задач;;ПК-С2.2 Cпособность представлять адекватную современному уровню знаний научную картину мира на основе знания о лазерной техники и лазерных технологиях;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2423;ПК-С2.2.2 Участвует в разработке технических требований и заданий на проектирование лазерных и вспомогательных систем в составе технологического комплекса;;ПК-С2.2 Cпособность представлять адекватную современному уровню знаний научную картину мира на основе знания о лазерной техники и лазерных технологиях;;Профессиональные компетенции;Профессиональные компетенции;;;;;
2018 Цифровой электропривод робототехнических комплексов;2449;ПК-1.1 Анализирует технические требования к проектируемому объекту;;ПК-1 Способен проектировать и конструировать электронные средства, технические и киберфизические системы;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2449;ПК-1.2 Формирует расчетные схемы проектируемых объектов ;;ПК-1 Способен проектировать и конструировать электронные средства, технические и киберфизические системы;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2449;ПК-1.3 Производит силовые и прочностные расчеты;;ПК-1 Способен проектировать и конструировать электронные средства, технические и киберфизические системы;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2449;ПК-1.4 Применяет законы и принципы механики;;ПК-1 Способен проектировать и конструировать электронные средства, технические и киберфизические системы;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2449;ПК-2.1 Анализирует различные виды устойчивости динамических систем;;ПК-2 Способен управлять электронными средствами, техническими и киберфизическими системами;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2449;ПК-2.2. Определяет методы моделирования и управления системами;;ПК-2 Способен управлять электронными средствами, техническими и киберфизическими системами;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2449;ПК-2.3 Строит математические и компьютерные модели статических и динамических объектов управления;;ПК-2 Способен управлять электронными средствами, техническими и киберфизическими системами;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2449;ПК-2.4 Интерпретирует результаты моделирования статических и динамических технических систем;;ПК-2 Способен управлять электронными средствами, техническими и киберфизическими системами;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2449;ПК-3.1 Анализирует данные по оптимизации и эффективности изготовления продукции ;;ПК-3 Способен изготавливать элементы технических и киберфизических систем;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2449;ПК-3.2 Разрабатывает предложения по эффективному использованию технологического оборудования;;ПК-3 Способен изготавливать элементы технических и киберфизических систем;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2449;ПК-3.3 Разрабатывает предложения по совершенствованию производственного процесса;;ПК-3 Способен изготавливать элементы технических и киберфизических систем;;Профессиональные компетенции;Профессиональные компетенции;;;;;
;2449;ПК-4.1 Выполняет технические задания на разработку системы электропривода;;ПК-4 Способен оформлять техническую документацию на различных стадиях разработки проекта системы электропривода;;Профессиональные компетенции;Профессиональные компетенции;40.180;;;;
;2449;ПК-4.2 Разрабатывает простые узлы, блоки систем электропривода;;ПК-4 Способен оформлять техническую документацию на различных стадиях разработки проекта системы электропривода;;Профессиональные компетенции;Профессиональные компетенции;40.180;;;;
;2449;ПК-5.1 Осуществляет проведение патентных исследований и определение характеристик систем управления электроприводами;;ПК-5 Способен к проведению научно-исследовательских и опытно-конструкторских разработок при исследовании самостоятельных тем;;Профессиональные компетенции;Профессиональные компетенции;40.011;;;;
;2449;ПК-5.2 Осуществляет проведение работ по обработке и анализу научно-технической информации и результатов исследований;;ПК-5 Способен к проведению научно-исследовательских и опытно-конструкторских разработок при исследовании самостоятельных тем;;Профессиональные компетенции;Профессиональные компетенции;40.011;;;;
;2449;ПК-C1.1.1 Формирует расчетные схемы и математические модели отдельных частей системы интеллектуального электропривода;;ПК-C1.1 Способен разрабатывать проектные решения отдельных частей системы интеллектуального электропривода;;Профессиональные компетенции;Профессиональные компетенции;40.180;;;;
;2449;ПК-C1.1.2 Осуществляет обоснованный выбор элементной базы отдельных частей системы интеллектуального электропривода;;ПК-C1.1 Способен разрабатывать проектные решения отдельных частей системы интеллектуального электропривода;;Профессиональные компетенции;Профессиональные компетенции;40.180;;;;
;2449;ПК-C1.2.1 Анализирует технические требования к проектируемым системам управления интеллектуальным электроприводом;;ПК-C1.2 Способен применять современный инструментарий проектирования для решения задач управления интеллектуальным электроприводом;;Профессиональные компетенции;Профессиональные компетенции;40.011;;;;
;2449;ПК-C1.2.2 Обеспечивает требуемые режимы и заданные параметры статических и динамических характеристик систем управления интеллектуальным электроприводом;;ПК-C1.2 Способен применять современный инструментарий проектирования для решения задач управления интеллектуальным электроприводом;;Профессиональные компетенции;Профессиональные компетенции;40.011;;;;
;2449;ПК-C2.1.1 Формирует расчетные схемы и математические модели отдельных частей электротехнических устройств автоматики;;ПК-C2.1 Способен разрабатывать проектные решения отдельных частей электротехнических устройств автоматики;;Профессиональные компетенции;Профессиональные компетенции;40.180;;;;
;2449;ПК-C2.1.2 Осуществляет обоснованный выбор элементной базы отдельных частей электротехнических устройств автоматики;;ПК-C2.1 Способен разрабатывать проектные решения отдельных частей электротехнических устройств автоматики;;Профессиональные компетенции;Профессиональные компетенции;40.180;;;;
;2449;ПК-C2.2.1 Анализирует технические требования к проектируемым электротехническим устройствам автоматики;;ПК-C2.2 Способен применять современный инструментарий для решения задач проектирования электротехнических устройств автоматики;;Профессиональные компетенции;Профессиональные компетенции;40.011;;;;
;2449;ПК-C2.2.2 Обеспечивает требуемые режимы и заданные параметры статических и динамических характеристик электротехнических устройств автоматики;;ПК-C2.2 Способен применять современный инструментарий для решения задач проектирования электротехнических устройств автоматики;;Профессиональные компетенции;Профессиональные компетенции;40.011;;;;
2018 Информационные технологии в энергетике;2455;ПК-1.1 проводит патентные исследования и определяет характеристики продукции (услуг);;ПК-1 Способен проводить научно-исследовательские и опытно-конструкторские разработки при исследовании самостоятельных тем;;Профессиональные компетенции;Профессиональные компетенции;40.011 Специалист по научно-исследовательским и опытно-конструкторским разработкам;;;;
;2455;ПК-1.2 Проводит работы по обработке и анализу научно-технической информации и результатов исследований;;ПК-1 Способен проводить научно-исследовательские и опытно-конструкторские разработки при исследовании самостоятельных тем;;Профессиональные компетенции;Профессиональные компетенции;40.011 Специалист по научно-исследовательским и опытно-конструкторским разработкам;;;;
;2455;ПК-1.3 Руководит группой работников при исследовании самостоятельных тем;;ПК-1 Способен проводить научно-исследовательские и опытно-конструкторские разработки при исследовании самостоятельных тем;;Профессиональные компетенции;Профессиональные компетенции;40.011 Специалист по научно-исследовательским и опытно-конструкторским разработкам;;;;
;2455;ПК-4.1 Изучает энергетические паспорта и отчеты о проведенном энергетическом обследовании здания, строения или сооружения, для которого разрабатывается проект обеспечения соблюдения требований энергетической эффективности;;ПК-4. Способен осуществлять разработку отдельных разделов проекта обеспечения соблюдения требований энергетической эффективности зданий, строений и сооружений на различных стадиях проектирования.;;Профессиональные компетенции;Профессиональные компетенции;16.110 Специалист по подготовке проекта обеспечения соблюдения требований энергетической эффективности зданий, строений и сооружений;;;;
;2455;ПК-4.2 Принимает участие в разработке отдельных частей проекта обеспечения соблюдения требований энергетической эффективности зданий, строений и сооружений.;;ПК-4. Способен осуществлять разработку отдельных разделов проекта обеспечения соблюдения требований энергетической эффективности зданий, строений и сооружений на различных стадиях проектирования.;;Профессиональные компетенции;Профессиональные компетенции;16.110 Специалист по подготовке проекта обеспечения соблюдения требований энергетической эффективности зданий, строений и сооружений;;;;
;2455;ПК-5.1 Обеспечение безопасной деятельности при работе со свежим и отработавшим ядерным топливом в процессе производства электрической и тепловой энергии на атомных станциях;;ПК-5. Способен применять инженерно-физическое сопровождение и контроль обеспечения ядерной безопасности, надежности и экономической эффективности в процессе эксплуатации, ремонта, перегрузок и пуска реакторной установки;;Профессиональные компетенции;Профессиональные компетенции;24.028 Специалист ядерно-физической лаборатории в области атомной энергетики;;;;
;2455;ПК-5.2 Инженерно-физическое сопровождение эксплуатации активной зоны реакторной установки ;;ПК-5. Способен применять инженерно-физическое сопровождение и контроль обеспечения ядерной безопасности, надежности и экономической эффективности в процессе эксплуатации, ремонта, перегрузок и пуска реакторной установки;;Профессиональные компетенции;Профессиональные компетенции;24.028 Специалист ядерно-физической лаборатории в области атомной энергетики;;;;
;2455;ПК-5.3 Поддержание работоспособности систем, оборудования, средств измерения, контроля, управления, автоматики, вычислительной техники;;ПК-5. Способен применять инженерно-физическое сопровождение и контроль обеспечения ядерной безопасности, надежности и экономической эффективности в процессе эксплуатации, ремонта, перегрузок и пуска реакторной установки;;Профессиональные компетенции;Профессиональные компетенции;24.028 Специалист ядерно-физической лаборатории в области атомной энергетики;;;;
;2455;ПК-6.1 принимает участие в сопровождении конструкторской документации на тепловые модели изделий РКТ.;;ПК-6. Способен осуществлять сопровождение экспериментальной отработки теплового режима изделий РКТ.;;Профессиональные компетенции;Профессиональные компетенции;25.041 - Инженер-конструктор по теплофизике в ракетно-космической промышленности;;;;
;2455;ПК-6.2 принимает участие в комплексной отработке теплозащитных покрытий в составе образцов, конструктивных узлов, сборок и полноразмерных макетов в стендовых условиях;;ПК-6. Способен осуществлять сопровождение экспериментальной отработки теплового режима изделий РКТ.;;Профессиональные компетенции;Профессиональные компетенции;25.041 - Инженер-конструктор по теплофизике в ракетно-космической промышленности;;;;
;2455;ПК-6.3 Участвует в обработке и анализе результатов летно-конструкторских испытаний, оформление отчетной документации по полученным данным;;ПК-6. Способен осуществлять сопровождение экспериментальной отработки теплового режима изделий РКТ.;;Профессиональные компетенции;Профессиональные компетенции;25.041 - Инженер-конструктор по теплофизике в ракетно-космической промышленности;;;;
;2455;ПК-7.1 Принимает участие в предпроектном обследовании технологического процесса (объекта управления), для которого разрабатывается проект автоматизированной системы управления;;ПК-7. Способен осуществлять разработку отдельных разделов проекта на различных стадиях проектирования автоматизированной системы управления технологическими процессами;;Профессиональные компетенции;Профессиональные компетенции;40.178 Специалист в области проектирования автоматизированных систем управления технологическими процессами;;;;
;2455;ПК-7.2 Разрабатывает проектные решения отдельных частей автоматизированной системы управления технологическими процессами;;ПК-7. Способен осуществлять разработку отдельных разделов проекта на различных стадиях проектирования автоматизированной системы управления технологическими процессами;;Профессиональные компетенции;Профессиональные компетенции;40.178 Специалист в области проектирования автоматизированных систем управления технологическими процессами;;;;
;2455;ПК-8.1 принимает участие в выполненении прочностного расчета тепловой сети с учетом компенсации и самокомпенсации;;ПК-8. Способен выполнять специальные расчеты по тепловым сетям;;Профессиональные компетенции;Профессиональные компетенции;16.064 - Инженер-проектировщик тепловых сетей;;;;
;2455;ПК-8.2 Обеспечивает выполнение гидравлического расчета тепловой сети;;ПК-8. Способен выполнять специальные расчеты по тепловым сетям;;Профессиональные компетенции;Профессиональные компетенции;16.064 - Инженер-проектировщик тепловых сетей;;;;
;2455;ПК-С. 1.1.1. Разработка технических описаний на отдельные блоки и систему в целом1;;"ПК-С 1.1.   Разработка комплекта конструкторской и технической документации на изделия ""система в корпусе""";;Профессиональные компетенции;Профессиональные компетенции;29.006 Специалист по проектированию систем в корпусе;;;;
;2455;"ПК-С.1.1.2 Разработка комплекта рабочей конструкторской документации по результатам измерений и испытаний опытных образцов изделий ""система в корпусе""";;"ПК-С 1.1.   Разработка комплекта конструкторской и технической документации на изделия ""система в корпусе""";;Профессиональные компетенции;Профессиональные компетенции;29.006 Специалист по проектированию систем в корпусе;;;;
;2455;"ПК-С 1.1.3 Подготовка функционального описания, инструкции по типовому использованию и назначению изделий ""система в корпусе""";;"ПК-С 1.1.   Разработка комплекта конструкторской и технической документации на изделия ""система в корпусе""";;Профессиональные компетенции;Профессиональные компетенции;29.006 Специалист по проектированию систем в корпусе;;;;
;2455;ПК-С 2.1.1. Участвует  в выполнении гидравлических расчетов, расчетов тепловых схем с выбором оборудования и арматуры;;ПК-С2.1.  Способен  выполнять специальные расчеты  для проектирования котельных, центральных тепловых пунктов, малых теплоэлектроцентралей;;Профессиональные компетенции;Профессиональные компетенции;16.065 Инженер-проектировщик технологических решений котельных, центральных тепловых пунктов и малых теплоэлектроцентралей;;;;
;2455;ПК-С.2.1.2 Принимает участие в выполнении аэродинамических расчетов и расчетов энергоэффективности;;ПК-С2.1.  Способен  выполнять специальные расчеты  для проектирования котельных, центральных тепловых пунктов, малых теплоэлектроцентралей;;Профессиональные компетенции;Профессиональные компетенции;16.065 Инженер-проектировщик технологических решений котельных, центральных тепловых пунктов и малых теплоэлектроцентралей;;;;
